timestamp,decision
2025-08-04T22:14:28.533502,kooperieren
2025-08-04T22:14:32.640483,verraten
2025-08-04T22:14:34.026215,kooperieren
2025-08-04T22:14:34.449602,verraten
2025-08-04T22:14:35.165863,kooperieren
2025-08-04T22:14:35.797827,kooperieren
2025-08-04T22:15:20.793845,kooperieren
2025-08-04T22:15:21.323280,verraten
2025-08-04T22:15:21.806846,kooperieren
2025-08-04T22:15:22.234582,verraten
2025-08-04T22:15:36.857065,verraten
2025-08-04T22:15:37.449891,kooperieren
2025-08-04T22:15:38.221109,verraten
2025-08-04T22:15:38.612634,kooperieren
2025-08-04T22:15:39.029642,verraten
2025-08-04T22:15:39.416750,kooperieren
